scenario,time,time_to_terminal,log_capital,log_capability,log_population,log_consumption,log_shadow_value,log_output,log_wage,log_ai_services,log_human_research,log_production_labor,log_automated_research,log_effective_research,log_output_per_capita,log_consumption_per_capita,log_capital_per_capita,capital_growth,capability_growth,consumption_growth,consumption_per_capita_growth,shadow_growth,output_growth,output_per_capita_growth,wage_growth,output_capital_ratio,capability_growth_to_output_capital,gross_capital_return,net_capital_return,human_research_share,ai_share,automated_research_share,inference_share,research_resource_share,investment_share,consumption_share,resource_share_sum,production_labor_share,aggregate_labor_share,shadow_capability_to_capital,singularity_time_estimate,monopoly_foc_log_error,research_compute_foc_log_error,research_human_foc_log_error,labor_market_error,euler_residual
equilibrium_sigma_1.35,178.0,155.22103112977265,3.7646698552811175,1.6733113330506906,2.136,2.194847385982246,1.0921751488357025,2.5022032818964366,-0.18057693253995755,0.7279910032838939,-2.1205689316093626,2.121727794668854,-3.7198012135017438,-2.5486255829170124,0.36620328189643647,0.058847385982245815,1.6286698552811174,0.015306508971382485,0.017398521295688512,0.015375227613312316,0.0033752276133123156,0.007608406285859806,0.015821945980043495,0.0038219459800434945,0.0029455772487807508,0.2829552351918555,0.061488600074466146,0.09337522761331232,0.04337522761331232,0.014170840216216033,0.14834592782141523,0.19487246894352214,0.03182434832218294,0.0019852617781078215,0.23080155745166525,0.7353888324480441,1.0,0.5706082283596517,0.5788104588880288,0.3681799840095735,205.9014773610599,-5.029088256947034e-12,-2.220446049250313e-16,-9.547918011776346e-15,-1.1102230246251565e-16,0.0
equilibrium_sigma_1.35,179.0,154.22103112977265,3.7800000235753264,1.6907747983771604,2.148,2.2102468235156807,1.0997843258124729,2.5180534314998853,-0.17760908795981933,0.7689894575492784,-2.0915967850662267,2.133481715520135,-3.6848933777983337,-2.5184953511715973,0.3700534314998851,0.06224682351568056,1.6320000235753263,0.015353971312233927,0.01752856105801318,0.01542379361202876,0.003423793612028759,0.007610025131681859,0.01587853042162024,0.0038785304216202403,0.0029902553899674444,0.28310240488493565,0.06191597370971645,0.09342379361202877,0.04342379361202876,0.014413402370670222,0.14930637881574818,0.19533853713366373,0.032069855459209984,0.0020234590940459703,0.23084922693891083,0.7350574585078332,1.0,0.5699647261934486,0.5782999967373817,0.3717844978653118,206.88697288568684,-4.851896662216859e-12,-4.440892098500626e-16,-1.1102230246251565e-14,0.0,0.0
equilibrium_sigma_1.35,180.0,153.22103112977265,3.7953780888308795,1.70836875969062,2.16,2.225695269045266,1.1073953553463607,2.5339607014807317,-0.1745961312540505,0.8102412075428438,-2.0625509275412117,2.1452302653724153,-3.6498216068617815,-2.48827097278439,0.37396070148073157,0.0656952690452659,1.6353780888308793,0.015402306290624515,0.01765951435072118,0.01547324700939471,0.0034732470093947095,0.00761211266712488,0.015936191033461,0.003936191033461,0.003035805012929771,0.28325226366483247,0.06234553652717628,0.09347324700939472,0.043473247009394714,0.014661197110916648,0.1502805142799478,0.19581255262115757,0.032319379193730076,0.002062611649060991,0.23089773562415,0.7347202735330588,0.9999999999999999,0.5693120554324349,0.5777830465654774,0.3754560067383182,207.87221887215279,-4.676037335116234e-12,0.0,-1.0658141036401503e-14,-2.220446049250313e-16,0.0
equilibrium_sigma_1.35,181.0,152.22103112977265,3.8108049339558745,1.7260941337453328,2.172,2.2411936202449576,1.11500870994891,2.5499261810309797,-0.17153718030423137,0.8517488799919681,-2.033431063960404,2.15697330699695,-3.6145838413813367,-2.457951672826577,0.3779261810309795,0.06919362024495745,1.6388049339558743,0.015451534575469786,0.01779138762470555,0.01552360848006746,0.003523608480067459,0.007614676575168729,0.01599495400350648,0.003994954003506478,0.0030822475050040765,0.2834048741820226,0.06277728171068317,0.09352360848006747,0.04352360848006746,0.014914355641994828,0.1512685769242758,0.19629469387142717,0.03257300390382256,0.0021027484118133137,0.23094710267203167,0.7343771450123324,1.0,0.5686500534607352,0.57725950704655,0.37919598745562066,208.85720997807644,-4.500844141830385e-12,-4.440892098500626e-16,-1.199040866595169e-14,-1.1102230246251565e-16,0.0
equilibrium_sigma_1.35,182.0,151.22103112977265,3.826281462833704,1.7439518437366144,2.184,2.256742795767333,1.1226248699050745,2.56595098591753,-0.1684313312974628,0.8935151419704557,-2.0042369182578774,2.168710699487038,-3.579177997665275,-2.427536680977249,0.38195098591752963,0.07274279576733278,1.642281462833704,0.015501677434849218,0.017924187303404258,0.01557489929032154,0.0035748992903215406,0.0076177247150558645,0.01605484628353082,0.004054846283530821,0.0031296048641493712,0.28356030087976225,0.06321120145448227,0.09357489929032155,0.043574899290321545,0.015173012565997875,0.15227081468114248,0.19678514442810593,0.03283081615688452,0.002143899346259781,0.23099734776563036,0.7340279367312254,1.0,0.5679785541636345,0.5767292746957723,0.38300595209967886,209.8419407244408,-4.32898161761841e-12,-2.220446049250313e-16,-1.2434497875801753e-14,0.0,0.0
equilibrium_sigma_1.35,183.0,150.22103112977265,3.841808600938542,1.761942819271227,2.196,2.272343735849349,1.1302443234569695,2.582036259275612,-0.1652776580959343,0.9355427017306719,-1.97496823427019,2.180442298169699,-3.5436019672745322,-2.397025231896813,0.3860362592756119,0.07634373584934862,1.6458086009385418,0.01555275675593254,0.0180579197775029,0.0156271413181368,0.0036271413181367985,0.007621265132972028,0.01611589565353455,0.004115895653534551,0.0031778997322540192,0.28371861005496,0.06364728691573966,0.0936271413181368,0.0436271413181368,0.015437305956842432,0.1532874808305481,0.19728409308529946,0.0330929047753808,0.0021860954486970915,0.23104849112024803,0.7336725086556741,1.0000000000000002,0.5672973878435327,0.5761922438010492,0.3868874488059612,210.8264054915876,-4.1591174948507614e-12,0.0,-1.3100631690576847e-14,-1.1102230246251565e-16,0.0
equilibrium_sigma_1.35,184.0,149.22103112977265,3.857387295952029,1.7800679963271766,2.208,2.28799740292048,1.1378675669917266,2.598183172421713,-0.16207521159373917,0.9778343095379503,-1.945624776660848,2.192167954516468,-3.507853616660804,-2.366416565611607,0.39018317242171285,0.07999740292047974,1.6493872959520286,0.015604795068596508,0.018192591399429157,0.015680357075185815,0.0036803570751858146,0.007625306074465352,0.01617813070176055,0.004178130701760551,0.0032271554051277462,0.2838798699248055,0.06408552816460017,0.09368035707518582,0.04368035707518582,0.01570737743526917,0.154318834127944,0.19779173406526931,0.033359360904604354,0.0022293687862246594,0.23110055350516398,0.733310716804007,1.0,0.5666063811342774,0.5756483063521237,0.3908420625747706,211.81059851475254,-3.9894754166880375e-12,0.0,-1.509903313490213e-14,0.0,0.0
equilibrium_sigma_1.35,185.0,148.22103112977265,3.873018518415435,1.7983283172123734,2.22,2.303704782246082,1.1454951052464326,2.6143929257013783,-0.1588230190470945,1.0203927585404904,-1.916206331865681,2.203887516053271,-3.4719307867723503,-2.335709927894465,0.39439292570137807,0.08370478224608169,1.653018518415435,0.015657815567727246,0.018328208477698595,0.0157345697289653,0.0037345697289653014,0.0076298559967788275,0.01624158090240968,0.00424158090240968,0.0032773958746901144,0.28404415069383426,0.06452591413316663,0.09373456972896531,0.043734569728965306,0.015983372244088332,0.15536513893566048,0.19830826720389275,0.03363027808280044,0.002273752536729279,0.23115355625998632,0.732942413120484,1.0,0.5659053569131074,0.5750973519661725,0.39487141609256315,212.7945138796703,-3.823608096809039e-12,-2.220446049250313e-16,-1.687538997430238e-14,-2.220446049250313e-16,0.0
equilibrium_sigma_1.35,186.0,147.22103112977265,3.8887032624052744,1.8167247305178484,2.232,2.319466882594055,1.1531274515259957,2.630666749367581,-0.15552008338227719,1.0632208856625183,-1.8867127090638327,2.215600826269552,-3.4358312926408683,-2.3049045706468516,0.39866674936758084,0.08746688259405477,1.6567032624052742,0.01571184213628604,0.01846477727109117,0.015789803125803838,0.0037898031258038374,0.007634923581829139,0.01630627660453854,0.0043062766045385385,0.003328645812317177,0.284211524623648,0.06496843256283209,0.09378980312580384,0.04378980312580384,0.01626543932346901,0.1564266653575359,0.1988338981433954,0.033905752313623444,0.0023192810304330873,0.2312075213111131,0.7325674453448304,1.0,0.5651941342104508,0.5745392678099641,0.3989771705637432,213.77814551803732,-3.660627356794066e-12,0.0,-1.709743457922741e-14,2.220446049250313e-16,0.0
equilibrium_sigma_1.35,187.0,146.22103112977265,3.9044425462322923,1.835258191065069,2.244,2.3352847369249092,1.1607651279342903,2.6470059044904746,-0.1521653824808693,1.106321572520655,-1.857143741175125,2.2273077245267787,-3.3995529229493475,-2.2739997522823026,0.40300590449047435,0.09128473692490902,1.660442546232292,0.015766899369303602,0.01860230398266041,0.015846081814842268,0.0038460818148422678,0.007640517749914779,0.016372249092011515,0.004372249092011515,0.0033809306287935215,0.28438206610558264,0.06541306994989594,0.09384608181484227,0.04384608181484227,0.01655373138611276,0.15750368937677994,0.19936883853261161,0.03418588214099987,0.002365989793065175,0.23126247118862375,0.7321856568773113,1.0,0.5644725281175573,0.5739739385184205,0.40316102655250735,214.76148720281049,-3.4994229736184934e-12,0.0,-1.8207657603852567e-14,0.0,0.0
equilibrium_sigma_1.35,188.0,145.22103112977265,3.9202374131647924,1.8539296598472015,2.2560000000000002,2.351159403106232,1.1684086656193156,2.663411683899862,-0.14875786844149497,1.149697746364529,-1.8274992858842385,2.2390080459664725,-3.363093439579715,-2.2429947381103976,0.4074116838998618,0.09515940310623172,1.6642374131647921,0.01582301259884511,0.01874079475358012,0.015903431073034997,0.003903431073034997,0.007646647674183132,0.016439530616807474,0.004439530616807474,0.0034342764942962845,0.2845558517364697,0.06585981148943715,0.093903431073035,0.043903431073035,0.016848404992142907,0.1585964929971401,0.1999133062351002,0.03447076872648313,0.0024139155907206954,0.23131842904360486,0.7317968866391913,1.0,0.5637403496919161,0.5734012461093663,0.40742472483413367,215.74453254333517,-3.3422153933315712e-12,0.0,-1.9761969838327786e-14,-2.220446049250313e-16,0.0
