countrycode,country,year,cn,cgdpo,pl_n,pl_gdpo
POL,Poland,2019,3470956.0,1373038.0,0.3427536189556122,0.43894174695014954
PRT,Portugal,2019,2829080.5,364713.8125,0.3649851977825165,0.6583681702613831
PRY,Paraguay,2019,364996.28125,97938.09375,0.2919754981994629,0.3872378170490265
PSE,State of Palestine,2019,143225.6875,40951.6484375,0.38668203353881836,0.4183836281299591
QAT,Qatar,2019,1687084.375,337431.03125,0.3068837821483612,0.5226883292198181
ROU,Romania,2019,1939269.875,615826.375,0.2721603512763977,0.40868183970451355
RUS,Russian Federation,2019,28225418.0,4901255.0,0.29447489976882935,0.3454451858997345
RWA,Rwanda,2019,61006.95703125,33120.62890625,0.3142644762992859,0.3124847114086151
SAU,Saudi Arabia,2019,6124377.0,1844770.625,0.29311200976371765,0.45456308126449585
SDN,Sudan,2019,512229.71875,243129.234375,0.13258570432662964,0.144445538520813
SEN,Senegal,2019,191785.78125,61305.69921875,0.27405068278312683,0.3817588686943054
SGP,Singapore,2019,2312999.5,539802.75,0.39753156900405884,0.6982207894325256
SLE,Sierra Leone,2019,23015.908203125,20949.166015625,0.40004855394363403,0.31140032410621643
SLV,El Salvador,2019,279943.6875,61019.30078125,0.23441153764724731,0.4405349791049957
SOM,Somalia,2019,,24054.0,,0.359815388917923
SRB,Serbia,2019,662141.8125,137489.96875,0.26933643221855164,0.37467625737190247
SSD,South Sudan,2019,,10586.564453125,,0.4057028591632843
STP,Sao Tome and Principe,2019,2623.595947265625,1265.1922607421875,0.32198667526245117,0.34036970138549805
SUR,Suriname,2019,53316.06640625,11043.19921875,0.2609367370605469,0.38528743386268616
SVK,Slovakia,2019,845264.125,152103.390625,0.3893555998802185,0.6958653926849365
SVN,Slovenia,2019,542526.375,81323.125,0.35409799218177795,0.6629101037979126
SWE,Sweden,2019,2894729.75,598871.0,0.7003872394561768,0.8886208534240723
SWZ,Eswatini,2019,27780.34765625,10544.353515625,0.27481621503829956,0.42631983757019043
SXM,Sint Maarten (Dutch part),2019,,1721.633056640625,,0.847902238368988
SYC,Seychelles,2019,12680.9267578125,3285.005126953125,0.37810447812080383,0.5688806772232056
SYR,Syrian Arab Republic,2019,62034.625,96974.7109375,0.33095505833625793,0.291955828666687
TCA,Turks and Caicos Islands,2019,4326.4990234375,743.3527221679688,0.7152265310287476,1.6108300685882568
TCD,Chad,2019,92585.890625,39928.94140625,0.2990565001964569,0.37443971633911133
TGO,Togo,2019,63281.078125,20633.798828125,0.2572653293609619,0.33889317512512207
THA,Thailand,2019,5462679.5,1442812.5,0.22582896053791046,0.3770250678062439
TJK,Tajikistan,2019,596777.3125,40611.66015625,0.19629976153373718,0.20439483225345612
TKM,Turkmenistan,2019,770114.0625,137343.046875,0.26568350195884705,0.32934215664863586
TTO,Trinidad and Tobago,2019,192515.015625,41855.1796875,0.36566948890686035,0.5635631680488586
TUN,Tunisia,2019,475949.0625,163343.75,0.23657074570655823,0.256548672914505
TUR,Türkiye,2019,8896799.0,2375165.75,0.22623854875564575,0.3204011917114258
TWN,Taiwan,2019,5214267.5,1248572.125,0.3434096872806549,0.48962831497192383
TZA,U.R. of Tanzania: Mainland,2019,447530.8125,170548.203125,0.3450811207294464,0.34475424885749817
