scenario,normalization,omega_h,chi,time,time_to_terminal,log_capability,log_output_per_capita,capability_growth,output_per_capita_growth,wage_growth,aggregate_labor_share,human_research_share,automated_research_share,ai_share,output_capital_ratio,singularity_time_estimate
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,275.18422647260144,1253.6170317085175,0.5749742858423063,0.22111771608543052,0.0024419840105139815,0.00032948972029745935,0.00021839199781936713,0.6159784375389592,0.0,1.0,0.08062919770304593,0.273611464330245,352.38005763760316
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,276.0,1252.801258181119,0.5769671867845412,0.2213867685308637,0.002443932929724031,0.00033013582346842416,0.00021882035072806616,0.6159225588975115,0.0,1.0,0.08071259866043065,0.2736131895773162,353.1953444125837
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,277.0,1251.801258181119,0.5794123134707335,0.22171730104938492,0.002446320097987924,0.0003309295219087287,0.0002193465609146017,0.6158539186665039,0.0,1.0,0.08081504676641199,0.2736153088755025,354.1947464929934
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,277.73222856957,1251.069029611549,0.5812042184740144,0.2219598302428154,0.0024480667377179193,0.00033151186497138926,0.00021973263875096904,0.6158035586132338,0.0,1.0,0.08089021102502411,0.27361686379317257,354.92653637806967
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,278.0,1250.801258181119,0.581859826289912,0.22204862819163962,0.0024487051953794017,0.0003317250722010383,0.00021987399234646432,0.6157851211745604,0.0,1.0,0.08091772959020829,0.27361743307401865,355.19414720016283
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,279.0,1249.801258181119,0.5843097231698279,0.22238075181663852,0.002451088217307492,0.00033252248766802925,0.00022040266056677638,0.6157161660897409,0.0,1.0,0.08102064762725215,0.2736195621860067,356.19354653044866
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,280.0,1248.801258181119,0.5867620020311968,0.22271367378908424,0.002453469159226176,0.0003333217683097016,0.00022093256113464577,0.615647053079398,0.0,1.0,0.08112380137403283,0.2736216962241588,357.1929444803347
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,280.2802306665385,1248.5210275145805,0.5874496327671646,0.2228071121975277,0.0024541359984382714,0.00033354608665138105,0.0002210812799496864,0.6156276571203256,0.0,1.0,0.081152750566678,0.27362229513257097,357.4730061858469
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,281.0,1247.801258181119,0.5892166607932607,0.2230473959777992,0.002455848016618149,0.0003341229185669474,0.00022146370515230274,0.6155777818100756,0.0,1.0,0.08122719132824541,0.27362383520186434,358.1923410461085
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,282.0,1246.801258181119,0.591673697368399,0.22338192025741632,0.002458224785010909,0.00033492595176244297,0.00022199609484019334,0.615508351947601,0.0,1.0,0.08133081798865528,0.2736259791320319,359.1917362241935
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,282.828232763507,1245.973025417612,0.5937104943132905,0.2236595928312517,0.002460191717713921,0.00033559247193483063,0.00022243798136756254,0.6154507275506377,0.0,1.0,0.08141682455128676,0.2736277585640957,360.0194670011652
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,283.0,1245.801258181119,0.5941331096651811,0.22371724850736996,0.002460599459967794,0.00033573086567574226,0.00022252973241876361,0.6154387631570325,0.0,1.0,0.08143468185517538,0.2736281280277901,360.1911300109517
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,284.0,1244.801258181119,0.5965948955891504,0.2240533826118094,0.0024629720370858083,0.00033653766030684526,0.00022306461122667542,0.615369015102641,0.0,1.0,0.08153878342889381,0.27363028190259175,361.1905224026538
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,285.0,1243.801258181119,0.5990590530387119,0.22439032446083207,0.002465342512008057,0.0003373463489784283,0.00022360074902749716,0.6152991074479813,0.0,1.0,0.08164312321196815,0.2736324407693432,362.18991339572517
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,285.37623486047556,1243.4250233206435,0.599986768514952,0.22451730323872177,0.0024662338221757966,0.0003376510963169037,0.00022380278741351844,0.6152727643626352,0.0,1.0,0.08168244124979816,0.2736332543054379,362.56591876369674
zero_h_matched,matched initial capability growth,0.0,0.009484034594491028,286.0,1242.801258181119,0.6015255799107767,0.22472807594872846,0.002467710880406895,0.00033815694279272154,0.00022413815026212092,0.6152290398557929,0.0,1.0,0.08174770170777189,0.2736346046416448,363.1893029863956
